AOA,CL Open,CL open Max,CL open min,CL open mean ,CL Closed,CL Closed max,Cl closed min ,Cl closed mean ,tPA_closed,tPA_open
-0.91067,0.061193,0.061355,-0.073243,-0.015365433,0.040699,0.040699,-0.033892,-8.48588E-06,0,0
-0.91178,0.061222,0.061355,-0.073243,-0.015365433,0.040319,0.040699,-0.033892,-8.48588E-06,0.0009997,0.0009997
-0.9129,0.061248,0.061355,-0.073243,-0.015365433,0.039933,0.040699,-0.033892,-8.48588E-06,0.0019999,0.0019999
-0.91407,0.061272,0.061355,-0.073243,-0.015365433,0.039542,0.040699,-0.033892,-8.48588E-06,0.0030006,0.0030006
-0.91534,0.061293,0.061355,-0.073243,-0.015365433,0.039146,0.040699,-0.033892,-8.48588E-06,0.0039999,0.0039999
-0.91654,0.061311,0.061355,-0.073243,-0.015365433,0.038745,0.040699,-0.033892,-8.48588E-06,0.0050001,0.0050001
-0.91788,0.061326,0.061355,-0.073243,-0.015365433,0.038338,0.040699,-0.033892,-8.48588E-06,0.0059998,0.0059998
-0.9192,0.061338,0.061355,-0.073243,-0.015365433,0.037926,0.040699,-0.033892,-8.48588E-06,0.0070004,0.0070004
-0.92058,0.061347,0.061355,-0.073243,-0.015365433,0.037509,0.040699,-0.033892,-8.48588E-06,0.0080001,0.0080001
-0.922,0.061353,0.061355,-0.073243,-0.015365433,0.037087,0.040699,-0.033892,-8.48588E-06,0.0089999,0.0089999
-0.92355,0.061355,0.061355,-0.073243,-0.015365433,0.03666,0.040699,-0.033892,-8.48588E-06,0.01,0.01
-0.92506,0.061354,0.061355,-0.073243,-0.015365433,0.036228,0.040699,-0.033892,-8.48588E-06,0.011001,0.011001
-0.92669,0.06135,0.061355,-0.073243,-0.015365433,0.035792,0.040699,-0.033892,-8.48588E-06,0.012,0.012
-0.92831,0.061342,0.061355,-0.073243,-0.015365433,0.03535,0.040699,-0.033892,-8.48588E-06,0.013,0.013
-0.92987,0.06133,0.061355,-0.073243,-0.015365433,0.034905,0.040699,-0.033892,-8.48588E-06,0.014,0.014
-0.93155,0.061315,0.061355,-0.073243,-0.015365433,0.034454,0.040699,-0.033892,-8.48588E-06,0.015001,0.015001
-0.93308,0.061296,0.061355,-0.073243,-0.015365433,0.033999,0.040699,-0.033892,-8.48588E-06,0.016,0.016
